num,QB,Receiver,yds_gain,air_yds,pass_result,play_type,length
1,中島, 小川,0,21,0,pass,10yd+
2,中島,金子,0,6,0,pass,short
3,中島,北川,0,26,0,pass,10yd+
4,濱口,増南,0,13,0,pass,short
5,中島,,0,24,0,pass,10yd+
6,中島,,3,0,0,run,scramble
7,中島,北川,0,16,0,pass,10yd+
8,中島,吉識,0,10,0,pass,short
9,濱口,斎藤,0,21,0,pass,10yd+
10,中島,牧,0,10,0,pass,short
11,中島,吉識,15,20,1,pass,10yd+
12,中島,,0,18,0,pass,10yd+
13,濱口,北川,15,16,1,pass,10yd+
14,中島,小川,30+,30,1,pass,10yd+
15,中島,斎藤,20,22,1,pass,10yd+
16,中島,増南,0,21,0,pass,10yd+
17,濱口,牧,6,10,1,pass,short
18,中島,,11,0,0,run,scramble
19,濱口,草場,0,21,0,pass,10yd+
20,須田,久野,5,11,1,pass,short
21,濱口,植田,6,11,1,pass,short
22,須田,久野,0,21,0,pass,10yd+
23,濱口,草場,19,27,1,pass,10yd+
24,須田,井川,15,21,1,pass,10yd+
25,濱口,植田,0,29,0,pass,10yd+
26,須田,,0,15,0,pass,short
27,濱口,井川,0,18,0,pass,10yd+
28,須田,西岡,0,28,0,pass,10yd+
29,濱口,一針,0,0,0,pass,short
30,須田,渋谷,0,10,0,pass,short
31,濱口,西岡,0,14,0,pass,short
32,須田,井川,10,15,1,pass,short
33,濱口,渋谷,0,33,0,pass,10yd+
34,須田,井川,0,31,0,pass,10yd+
35,濱口,西岡,0,11,0,pass,short
36,須田,植田,0,32,0,pass,10yd+
37,濱口,,0,26,0,pass,10yd+
38,濱口,草場,6,11,1,pass,short
39,須田,井川,0,25+,0,pass,10yd+
40,濱口,小野原,2,7,1,pass,short
41,須田,草場,9,9,1,pass,short
42,濱口,久野,4(0),9,1,pass,short
43,須田,植田,30+,34,1,pass,10yd+
44,濱口,小川,14,17,1,pass,10yd+
45,須田,一針,5,9,1,pass,short
46,濱口,渋谷,5,9,1,pass,short
47,須田,小川,4,9,1,pass,short
48,濱口,小川,30+,14,1,pass,10yd+
49,須田,井川,0,35,0,pass,10yd+
50,濱口,渋谷,6,9,1,pass,short
51,須田,渋谷,6,10,1,pass,short
52,濱口,草場,13,18,1,pass,10yd+
53,須田,井川,12,15,1,pass,10yd+
54,濱口,,0,28,0,pass,10yd+
55,須田,草場,0,9,0,pass,short
56,濱口,小川,0,12,0,pass,10yd+
57,中島,吉識,7,10,1,pass,short
58,中島,久野,4,9,1,pass,short
59,中島,斎藤,0,19,0,pass,10yd+
60,中島,平野,14,17,1,pass,10yd+
61,中島,前川,1,6,1,pass,short
62,中島,一針,16,7,1,pass,short
63,中島,吉田,7,11,1,pass,short
64,中島,米田,0,18,0,pass,10yd+
65,中島,増南,12,13,1,pass,short
66,中島,牧,0,21,0,pass,10yd+
67,中島,吉田,30+,15,1,pass,10yd+
68,中島,平野,10,11,1,pass,short
69,中島,増南,5,12,1,pass,short
70,中島,吉田,0,17,0,pass,10yd+
71,中島,吉識,10,16,1,pass,10yd+
72,中島,米田,7,11,1,pass,short
73,中島,斎藤,0,17,0,pass,10yd+
74,中島,牧,0,9,0,pass,short
75,中島,増南,0,19,0,pass,10yd+
76,中島,小川,0,27,0,pass,10yd+
77,中島,吉識,9,15,1,pass,short
78,中島,牧,0,9,0,pass,short
79,中島,,3,0,0,run,scramble
80,濱口,吉田,0,21,0,pass,10yd+
81,中島,北川,0,12,0,pass,short
82,濱口,増南,0,36,0,pass,10yd+
83,中島,井川,12,11,1,pass,short
84,濱口,増田,11,18,1,pass,10yd+
85,中島,斎藤,0,19,0,pass,10yd+
86,中島,吉田,3,9,1,pass,short
87,濱口,小川,0,11,0,pass,short
88,中島,米田,5,9,1,pass,short
89,濱口,井川,0,19,0,pass,10yd+
90,中島,西岡,19,25,1,pass,10yd+
91,濱口,小川,5,11,1,pass,short
92,中島,増南,0,12,0,pass,short
93,濱口,増田,0,17,0,pass,10yd+
94,中島,北川,5,10,1,pass,short
95,濱口,吉識,0,40,0,pass,10yd+
96,中島,牧,0,25,0,pass,10yd+
97,濱口,西岡,30+,19,1,pass,10yd+
98,中島,洪,4,9,1,pass,short
99,濱口,増南,30+,17,1,pass,10yd+
100,中島,国分,0,9,0,pass,short
101,濱口,斎藤,19,25,1,pass,10yd+
102,中島,牧,6,12,1,pass,short
103,濱口,北川,5,10,1,pass,short
104,濱口,井川,0,22,0,pass,10yd+
105,濱口,米田,0,11,0,pass,short
106,中島,金子,2,7,1,pass,short
107,濱口,植田,5,11,1,pass,short
108,中島,平野,30+,30,1,pass,10yd+
109,中島,牧,0,24,0,pass,10yd+
110,濱口,小川,0,33,0,pass,10yd+
111,中島,北川,0,31,0,pass,10yd+
112,濱口,吉田,0,11,0,pass,short
113,濱口,,,,,,
114,中島,植田,5,12,1,pass,short
115,濱口,吉識,5,11,1,pass,short
116,中島,西岡,22,27,1,pass,10yd+
117,濱口,,0,11,0,pass,short
118,中島,河野,0,13,0,pass,short
119,濱口,小川,0,8,0,pass,short
120,中島,植田,0,24,0,pass,10yd+
121,濱口,増南,0,15,0,pass,short
122,中島,   小川,5,9,1,pass,short
123,濱口,草場,5,10,1,pass,short
124,中島,植田,0,16,0,pass,10yd+
125,濱口,米田,15,21,1,pass,10yd+
126,中島,渋谷,15,21,1,pass,10yd+
127,濱口,増南,0,26,0,pass,10yd+
128,中島,平野,5,11,1,pass,short
129,濱口,井川,30+,25,1,pass,10yd+
130,中島,北川,0,26,0,pass,10yd+
131,濱口,植田,5,10,1,pass,short
132,濱口,米田,5,10,1,pass,short
133,中島,平野,0,26,0,pass,10yd+
134,濱口,一針,4,8,1,pass,short
135,中島,,0,27,0,pass,10yd+
136,濱口,斎藤,20,24,1,pass,10yd+
137,濱口,久野,0,11,0,pass,short
138,中島,植田,0,10,0,pass,short
139,濱口,河野,5,10,1,pass,short
140,中島,吉田,0,17,0,pass,10yd+
141,濱口,,0,20,0,pass,10yd+
142,中島,,0,18,0,pass,10yd+
143,濱口,吉識,0,30,0,pass,10yd+
144,中島,小川,15,20,1,pass,10yd+
145,濱口,一針,3,7,1,pass,short
146,濱口,斎藤,4,9,1,pass,short
147,中島,米田,12,17,1,pass,10yd+
148,濱口,増南,30+,12,1,pass,short
149,中島,牧,6,8,1,pass,short
150,濱口,斎藤,0,18,0,pass,10yd+
151,中島,吉識,0,17,0,pass,10yd+
152,濱口,小川,7,10,1,pass,short
153,濱口,平野,11,17,1,pass,10yd+
154,中島,渋谷,0,26,0,pass,10yd+
155,濱口,増南,16,17,1,pass,10yd+
156,中島,吉識,30+,19,1,pass,10yd+
157,濱口,久野,0,13,0,pass,short
158,中島,斎藤,0,10,0,pass,short
159,濱口,平野,0,40,0,pass,10yd+
160,濱口,植田,0,11,0,pass,short
161,中島,吉田,0,37,0,pass,10yd+
162,濱口,渋谷,0,12,0,pass,short
163,中島,平野,22,24,1,pass,10yd+
164,濱口,小川,20,25,1,pass,10yd+
165,濱口,吉識,0,27,0,pass,10yd+
166,中島,増南,15,9,1,pass,short
167,中島,米田,4,10,1,pass,short
168,濱口,金子,0,6,0,pass,short
169,中島,河野,12,10,1,pass,short
170,濱口,米田,11,16,1,pass,10yd+
171,中島,井川,5,10,1,pass,short
172,濱口,斎藤,0,21,0,pass,10yd+
173,中島,牧,0,11,0,pass,short
174,濱口,草場,16,19,1,pass,10yd+
175,中島,平野,4,10,1,pass,short
176,濱口,北川,7,11,1,pass,short
177,中島,久野,6,10,1,pass,short
178,,,,,,,
179,濱口,河野,11,16,1,pass,10yd+
180,中島,植田,0,19,0,pass,10yd+
181,濱口,草場,0,23,0,pass,10yd+
182,中島,,0,18,0,pass,10yd+
183,中島,吉田,30+,18,1,pass,10yd+
184,濱口,小川,12,18,1,pass,10yd+
185,中島,斎藤,10,9,1,pass,short
186,,,,,,,
187,濱口,草場,0,17,0,pass,10yd+
188,中島,渋谷,14,20,1,pass,10yd+
189,濱口,増南,11,11,1,pass,short
190,中島,牧,6,10,1,pass,short
191,濱口,,0,14,0,pass,short
192,中島,植田,0,16,0,pass,10yd+
193,中島,柳井,4,9,1,pass,short
194,濱口,草場,14,19,1,pass,10yd+
195,中島,井川,17,19,1,pass,10yd+
196,濱口,北川,25,28,1,pass,10yd+
197,,,,,,,
198,濱口,小川,5,11,1,pass,short
199,中島,斎藤,0,35,0,pass,10yd+
200,中島,金子,0,6,0,pass,short
201,濱口,吉田,0,15,0,pass,short
202,中島,増南,0,21,0,pass,10yd+
203,濱口,井川,0,37,0,pass,10yd+
204,中島,平野,0,33,0,pass,10yd+
205,濱口,吉田,0,33,0,pass,10yd+
206,,,,,,,
207,濱口,久野,0,18,0,pass,10yd+
208,中島,植田,14,16,1,pass,10yd+
209,濱口,斎藤,0,35,0,pass,10yd+
210,中島,井川,0,30,0,pass,10yd+
211,濱口,小川,9,13,1,pass,short
212,中島,平野,30+,32,1,pass,10yd+
213,濱口,増南,0,19,0,pass,10yd+
214,濱口,吉識,5,10,1,pass,short
215,中島,草場,16,21,1,pass,10yd+
216,濱口,吉田,11,16,1,pass,10yd+
217,中島,斎藤,0,19,0,pass,10yd+
218,濱口,久野,0,17,0,pass,10yd+
219,中島,北川,0,28,0,pass,10yd+
220,濱口,吉識,0,37,0,pass,10yd+
221,中島,小川,11,17,1,pass,10yd+
222,濱口,増南,15,18,1,pass,10yd+
223,濱口,斎藤,7,11,1,pass,short
224,中島,平野,6,11,1,pass,short
225,濱口,北川,7,11,1,pass,short
226,中島,吉田,0,42,0,pass,10yd+
227,濱口,吉識,0,28,0,pass,10yd+
228,中島,,0,21,0,pass,10yd+
229,濱口,渋谷,9,15,1,pass,short
230,中島,平野,5,11,1,pass,short
231,濱口,斎藤,20,21,1,pass,10yd+
232,中島,小川,0,22,0,pass,10yd+
233,濱口,北川,0,22,0,pass,10yd+
234,中島,吉識,0,20,0,pass,10yd+
235,濱口,吉田,7,12,1,pass,short
236,濱口,金子,5,7,1,pass,short
237,中島,井川,0,10,0,pass,short
238,濱口,吉識,0,23,0,pass,10yd+
239,濱口,増南,28,29,1,pass,10yd+
240,中島,北川,0,30,0,pass,10yd+
241,中島,渋谷,0,27,0,pass,10yd+
242,中島,,0,20,0,pass,10yd+
243,濱口,吉識,0,22,0,pass,10yd+
244,濱口,柳井,6,9,1,pass,short
245,中島,小川,12,18,1,pass,10yd+
246,濱口,吉田,0,18,0,pass,10yd+
247,中島,牧,9,9,1,pass,short
248,濱口,北川,27,26,1,pass,10yd+
249,中島,小川,5,9,1,pass,short
250,,,,,,,
251,,,,,,,
252,,,,,,,
253,,,,,,,
254,,,,,,,
255,,,,,,,
256,,,,,,,
257,,,,,,,
258,,,,,,,
259,,,,,,,
260,,,,,,,
261,,,,,,,
262,,,,,,,
263,,,,,,,
264,,,,,,,
265,,,,,,,
266,,,,,,,
267,,,,,,,
268,,,,,,,
269,,,,,,,
270,,,,,,,
271,,,,,,,
272,,,,,,,
273,,,,,,,
274,,,,,,,
275,,,,,,,
276,,,,,,,
277,,,,,,,
278,,,,,,,
279,,,,,,,
280,,,,,,,
281,,,,,,,
282,,,,,,,
283,,,,,,,
284,,,,,,,
285,,,,,,,
286,,,,,,,
287,,,,,,,
288,,,,,,,
289,,,,,,,
290,,,,,,,
291,,,,,,,
292,,,,,,,
293,,,,,,,
294,,,,,,,
295,,,,,,,
296,,,,,,,
297,,,,,,,
298,,,,,,,
299,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,,,,,,,
314,,,,,,,
315,,,,,,,
316,,,,,,,
317,,,,,,,
318,,,,,,,
319,,,,,,,
320,,,,,,,
321,,,,,,,
322,,,,,,,
323,,,,,,,
324,,,,,,,
325,,,,,,,
326,,,,,,,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,,,,,,,
335,,,,,,,
336,,,,,,,
337,,,,,,,
338,,,,,,,
339,,,,,,,
340,,,,,,,
341,,,,,,,
342,,,,,,,
343,,,,,,,
344,,,,,,,
345,,,,,,,
346,,,,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,,,,,,,
353,,,,,,,
354,,,,,,,
355,,,,,,,
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,,,,,,,
360,,,,,,,
361,,,,,,,
362,,,,,,,
363,,,,,,,
364,,,,,,,
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,,,,,,,
369,,,,,,,
370,,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,,,,,,,
378,,,,,,,
379,,,,,,,
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,,,,,,,
384,,,,,,,
385,,,,,,,
386,,,,,,,
387,,,,,,,
388,,,,,,,
389,,,,,,,
390,,,,,,,
391,,,,,,,
392,,,,,,,
393,,,,,,,
394,,,,,,,
395,,,,,,,
396,,,,,,,
397,,,,,,,
398,,,,,,,
399,,,,,,,
400,,,,,,,
401,,,,,,,
402,,,,,,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,,,,,,,
407,,,,,,,
408,,,,,,,
409,,,,,,,
410,,,,,,,
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
422,,,,,,,
423,,,,,,,
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,,,,,,,
429,,,,,,,
430,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,
435,,,,,,,
436,,,,,,,
437,,,,,,,
438,,,,,,,
439,,,,,,,
440,,,,,,,
441,,,,,,,
442,,,,,,,
443,,,,,,,
444,,,,,,,
445,,,,,,,
446,,,,,,,
447,,,,,,,
448,,,,,,,
449,,,,,,,
450,,,,,,,
451,,,,,,,
452,,,,,,,
453,,,,,,,
454,,,,,,,
455,,,,,,,
456,,,,,,,
457,,,,,,,
458,,,,,,,
459,,,,,,,
460,,,,,,,
461,,,,,,,
462,,,,,,,
463,,,,,,,
464,,,,,,,
465,,,,,,,
466,,,,,,,
467,,,,,,,
468,,,,,,,
469,,,,,,,
470,,,,,,,
471,,,,,,,
472,,,,,,,
473,,,,,,,
474,,,,,,,
475,,,,,,,
476,,,,,,,
477,,,,,,,
478,,,,,,,
479,,,,,,,
480,,,,,,,
481,,,,,,,
482,,,,,,,
483,,,,,,,
484,,,,,,,
485,,,,,,,
486,,,,,,,
487,,,,,,,
488,,,,,,,
489,,,,,,,
490,,,,,,,
491,,,,,,,
492,,,,,,,
493,,,,,,,
494,,,,,,,
495,,,,,,,
496,,,,,,,
497,,,,,,,
498,,,,,,,
499,,,,,,,
500,,,,,,,
501,,,,,,,
502,,,,,,,
503,,,,,,,
504,,,,,,,
505,,,,,,,
506,,,,,,,
507,,,,,,,
508,,,,,,,
509,,,,,,,
510,,,,,,,
511,,,,,,,
512,,,,,,,
513,,,,,,,
514,,,,,,,
515,,,,,,,
516,,,,,,,
517,,,,,,,
518,,,,,,,
519,,,,,,,
520,,,,,,,
521,,,,,,,
522,,,,,,,
523,,,,,,,
524,,,,,,,
525,,,,,,,
526,,,,,,,
527,,,,,,,
528,,,,,,,
529,,,,,,,
530,,,,,,,
531,,,,,,,
532,,,,,,,
533,,,,,,,
534,,,,,,,
535,,,,,,,
536,,,,,,,
537,,,,,,,
538,,,,,,,
539,,,,,,,
540,,,,,,,
541,,,,,,,
542,,,,,,,
543,,,,,,,
544,,,,,,,
545,,,,,,,
546,,,,,,,
547,,,,,,,
548,,,,,,,
549,,,,,,,
550,,,,,,,
551,,,,,,,
552,,,,,,,
553,,,,,,,
554,,,,,,,
555,,,,,,,
556,,,,,,,
557,,,,,,,
558,,,,,,,
559,,,,,,,
560,,,,,,,
561,,,,,,,
562,,,,,,,
563,,,,,,,
564,,,,,,,
565,,,,,,,
566,,,,,,,
567,,,,,,,
568,,,,,,,
569,,,,,,,
570,,,,,,,
571,,,,,,,
572,,,,,,,
573,,,,,,,
574,,,,,,,
575,,,,,,,
576,,,,,,,
577,,,,,,,
578,,,,,,,
579,,,,,,,
580,,,,,,,
581,,,,,,,
582,,,,,,,
583,,,,,,,
584,,,,,,,
585,,,,,,,
586,,,,,,,
587,,,,,,,
588,,,,,,,
589,,,,,,,
590,,,,,,,
591,,,,,,,
592,,,,,,,
593,,,,,,,
594,,,,,,,
595,,,,,,,
596,,,,,,,
597,,,,,,,
598,,,,,,,
599,,,,,,,
600,,,,,,,
601,,,,,,,
602,,,,,,,
603,,,,,,,
604,,,,,,,
605,,,,,,,
606,,,,,,,
607,,,,,,,
608,,,,,,,
609,,,,,,,
610,,,,,,,
611,,,,,,,
612,,,,,,,
613,,,,,,,
614,,,,,,,
615,,,,,,,
616,,,,,,,
617,,,,,,,
618,,,,,,,
619,,,,,,,
620,,,,,,,
621,,,,,,,
622,,,,,,,
623,,,,,,,
624,,,,,,,
625,,,,,,,
626,,,,,,,
627,,,,,,,
628,,,,,,,
629,,,,,,,
630,,,,,,,
631,,,,,,,
632,,,,,,,
633,,,,,,,
634,,,,,,,
635,,,,,,,
636,,,,,,,
637,,,,,,,
638,,,,,,,
639,,,,,,,
640,,,,,,,
641,,,,,,,
642,,,,,,,
643,,,,,,,
644,,,,,,,
645,,,,,,,
646,,,,,,,
647,,,,,,,
648,,,,,,,
649,,,,,,,
650,,,,,,,
651,,,,,,,
652,,,,,,,
653,,,,,,,
654,,,,,,,
655,,,,,,,
656,,,,,,,
657,,,,,,,
658,,,,,,,
659,,,,,,,
660,,,,,,,
661,,,,,,,
662,,,,,,,
663,,,,,,,
664,,,,,,,
665,,,,,,,
666,,,,,,,
667,,,,,,,
668,,,,,,,
669,,,,,,,
670,,,,,,,
671,,,,,,,
672,,,,,,,
673,,,,,,,
674,,,,,,,
675,,,,,,,
676,,,,,,,
677,,,,,,,
678,,,,,,,
679,,,,,,,
680,,,,,,,
681,,,,,,,
682,,,,,,,
683,,,,,,,
684,,,,,,,
685,,,,,,,
686,,,,,,,
687,,,,,,,
688,,,,,,,
689,,,,,,,
690,,,,,,,
691,,,,,,,
692,,,,,,,
693,,,,,,,
694,,,,,,,
695,,,,,,,
696,,,,,,,
697,,,,,,,
698,,,,,,,
699,,,,,,,
700,,,,,,,
701,,,,,,,
702,,,,,,,
703,,,,,,,
704,,,,,,,
705,,,,,,,
706,,,,,,,
707,,,,,,,
708,,,,,,,
709,,,,,,,
710,,,,,,,
711,,,,,,,
712,,,,,,,
713,,,,,,,
714,,,,,,,
715,,,,,,,
716,,,,,,,
717,,,,,,,
718,,,,,,,
719,,,,,,,
720,,,,,,,
721,,,,,,,
722,,,,,,,
723,,,,,,,
724,,,,,,,
725,,,,,,,
726,,,,,,,
727,,,,,,,
728,,,,,,,
729,,,,,,,
730,,,,,,,
731,,,,,,,
732,,,,,,,
733,,,,,,,
734,,,,,,,
735,,,,,,,
736,,,,,,,
737,,,,,,,
738,,,,,,,
739,,,,,,,
740,,,,,,,
741,,,,,,,
742,,,,,,,
743,,,,,,,
744,,,,,,,
745,,,,,,,
746,,,,,,,
747,,,,,,,
748,,,,,,,
749,,,,,,,
750,,,,,,,
751,,,,,,,
752,,,,,,,
753,,,,,,,
754,,,,,,,
755,,,,,,,
756,,,,,,,
757,,,,,,,
758,,,,,,,
759,,,,,,,
760,,,,,,,
761,,,,,,,
762,,,,,,,
763,,,,,,,
764,,,,,,,
765,,,,,,,
766,,,,,,,
767,,,,,,,
768,,,,,,,
769,,,,,,,
770,,,,,,,
771,,,,,,,
772,,,,,,,
773,,,,,,,
774,,,,,,,
775,,,,,,,
776,,,,,,,
777,,,,,,,
778,,,,,,,
779,,,,,,,
780,,,,,,,
781,,,,,,,
782,,,,,,,
783,,,,,,,
784,,,,,,,
785,,,,,,,
786,,,,,,,
787,,,,,,,
788,,,,,,,
789,,,,,,,
790,,,,,,,
791,,,,,,,
792,,,,,,,
793,,,,,,,
794,,,,,,,
795,,,,,,,
796,,,,,,,
797,,,,,,,
798,,,,,,,
799,,,,,,,
800,,,,,,,
801,,,,,,,
802,,,,,,,
803,,,,,,,
804,,,,,,,
805,,,,,,,
806,,,,,,,
807,,,,,,,
808,,,,,,,
809,,,,,,,
810,,,,,,,
811,,,,,,,
812,,,,,,,
813,,,,,,,
814,,,,,,,
815,,,,,,,
816,,,,,,,
817,,,,,,,
818,,,,,,,
819,,,,,,,
820,,,,,,,
821,,,,,,,
822,,,,,,,
823,,,,,,,
824,,,,,,,
825,,,,,,,
826,,,,,,,
827,,,,,,,
828,,,,,,,
829,,,,,,,
830,,,,,,,
831,,,,,,,
832,,,,,,,
833,,,,,,,
834,,,,,,,
835,,,,,,,
836,,,,,,,
837,,,,,,,
838,,,,,,,
839,,,,,,,
840,,,,,,,
841,,,,,,,
842,,,,,,,
843,,,,,,,
844,,,,,,,
845,,,,,,,
846,,,,,,,
847,,,,,,,
848,,,,,,,
849,,,,,,,
850,,,,,,,
851,,,,,,,
852,,,,,,,
853,,,,,,,
854,,,,,,,
855,,,,,,,
856,,,,,,,
857,,,,,,,
858,,,,,,,
859,,,,,,,
860,,,,,,,
861,,,,,,,
862,,,,,,,
863,,,,,,,
864,,,,,,,
865,,,,,,,
866,,,,,,,
867,,,,,,,
868,,,,,,,
869,,,,,,,
870,,,,,,,
871,,,,,,,
872,,,,,,,
873,,,,,,,
874,,,,,,,
875,,,,,,,
876,,,,,,,
877,,,,,,,
878,,,,,,,
879,,,,,,,
880,,,,,,,
881,,,,,,,
882,,,,,,,
883,,,,,,,
884,,,,,,,
885,,,,,,,
886,,,,,,,
887,,,,,,,
888,,,,,,,
889,,,,,,,
890,,,,,,,
891,,,,,,,
892,,,,,,,
893,,,,,,,
894,,,,,,,
895,,,,,,,
896,,,,,,,
897,,,,,,,
898,,,,,,,
899,,,,,,,
900,,,,,,,
901,,,,,,,
902,,,,,,,
903,,,,,,,
904,,,,,,,
905,,,,,,,
906,,,,,,,
907,,,,,,,
908,,,,,,,
909,,,,,,,
910,,,,,,,
911,,,,,,,
912,,,,,,,
913,,,,,,,
914,,,,,,,
915,,,,,,,
916,,,,,,,
917,,,,,,,
918,,,,,,,
919,,,,,,,
920,,,,,,,
921,,,,,,,
922,,,,,,,
923,,,,,,,
924,,,,,,,
925,,,,,,,
926,,,,,,,
927,,,,,,,
928,,,,,,,
929,,,,,,,
930,,,,,,,
931,,,,,,,
932,,,,,,,
933,,,,,,,
934,,,,,,,
935,,,,,,,
936,,,,,,,
937,,,,,,,
938,,,,,,,
939,,,,,,,
940,,,,,,,
941,,,,,,,
942,,,,,,,
943,,,,,,,
944,,,,,,,
945,,,,,,,
946,,,,,,,
947,,,,,,,
948,,,,,,,
949,,,,,,,
950,,,,,,,
951,,,,,,,
952,,,,,,,
953,,,,,,,
954,,,,,,,
955,,,,,,,
956,,,,,,,
957,,,,,,,
958,,,,,,,
959,,,,,,,
960,,,,,,,
961,,,,,,,
962,,,,,,,
963,,,,,,,
964,,,,,,,
965,,,,,,,
966,,,,,,,
967,,,,,,,
968,,,,,,,
969,,,,,,,
970,,,,,,,
971,,,,,,,
972,,,,,,,
973,,,,,,,
974,,,,,,,
975,,,,,,,
976,,,,,,,
977,,,,,,,
978,,,,,,,
979,,,,,,,
980,,,,,,,
981,,,,,,,
982,,,,,,,
983,,,,,,,
984,,,,,,,
985,,,,,,,
986,,,,,,,
987,,,,,,,
988,,,,,,,
989,,,,,,,
990,,,,,,,
991,,,,,,,
992,,,,,,,
993,,,,,,,
994,,,,,,,
995,,,,,,,
996,,,,,,,
997,,,,,,,
998,,,,,,,
999,,,,,,,
1000,,,,,,,
1001,,,,,,,
1002,,,,,,,
1003,,,,,,,
1004,,,,,,,
1005,,,,,,,
1006,,,,,,,
1007,,,,,,,
